"id","idasientopre","cuando","ejemplo","nota"
"1","1","Cuando cierras la nómina de un empleado a fin de mes. Registra el DEVENGO: el gasto total para la empresa (sueldo bruto + cotización empresa SS), la retención IRPF y el neto pendiente de pagar al trabajador.","Empleado con sueldo bruto 1.500 €, IRPF 150 €, SS empresa 450 €, SS trabajador 110 €:
• D = 1.500 | L (líquido neto) = 1.500 - 150 - 110 = 1.240 | R = 150 | C (coste empresa) = 1.950
Resultado: gasto empresa 1.950 €, neto a pagar al trabajador 1.240 €.","Este asiento registra el DEVENGO. Después necesitas:
• Asiento #4: pagar el neto al empleado
• Asiento #149: pagar la SS a la TGSS (empresa + obrera)
• Asiento #6 (modelo 111): ingresar las retenciones IRPF a Hacienda

MEI 2025 (Mecanismo de Equidad Intergeneracional):
El MEI sube al 0,80% sobre la base de cotización en 2025 (era 0,70% en 2024). Está incluido en la cuota empresa y en la cuota del trabajador. Tu software de nóminas debe actualizarlo automáticamente.

CASOS ESPECIALES:
• Baja médica (IT): usa el asiento #150 para nóminas con trabajadores en baja.
• ERTE: usa el asiento #151.
• Horas extra: misma cuenta 640 que el salario ordinario.
• Complementos en especie: llevan tratamiento diferente en IRPF; consúltalo con tu gestor."
"2","2","Cada mes, cuando devengues tu cuota de autónomos al RETA aunque aún no se haya cargado en el banco. Este asiento registra el GASTO del mes, no el pago.","Cuota RETA mensual: 320 €
• A = 0 (cuenta genérica) | B = 320
Resultado: gasto 320 € en cuenta 642 (SS empresa), deuda con la SS 320 € en cuenta 476.","El pago se registra con el asiento #3 (cargo en banco el día 30 del mes).

SISTEMA DE TRAMOS RETA 2025/2026:
Desde 2023 las cuotas están vinculadas a los rendimientos netos reales declarados. Hay 15 tramos de cotización. En 2026 se actualizan nuevamente según el calendario progresivo hasta 2031.
• Si tus ingresos reales son menores a lo previsto: puedes solicitar reducción de cuota.
• Si son mayores: la TGSS regularizará al año siguiente y tendrás que pagar la diferencia.

MEI 2025 (Mecanismo de Equidad Intergeneracional):
El MEI sube al 0,80% sobre la base de cotización en 2025 (era 0,70% en 2024). Está incluido en la cuota del RETA.

TARIFA PLANA 80€:
Se mantiene para nuevas altas (primer año). Posible extensión a 24 meses si no superas el SMI.

CASOS ESPECIALES:
• Cese temporal de actividad: la cuota sigue devengándose aunque estés de baja.
• Pluriactividad: si cotizas también como asalariado, puedes solicitar devolución del exceso de cotización a la TGSS."
"3","3","Cuando la cuota de autónomos se carga en tu cuenta bancaria. La TGSS domicilia el cobro normalmente el día 30 del mes en curso (o último día hábil si el 30 cae en festivo o fin de semana).","Cargo bancario de 320 € de cuota RETA el día 30:
• A = 0 (terminación banco) | B = 320
Resultado: cancela la deuda con la SS (476), sale dinero del banco (572).","Usa siempre este asiento DESPUÉS del #2 (devengo).

CASOS FRECUENTES:
• Si tienes bonificación (tarifa plana), el cargo será por la cuota reducida; ajusta B al importe real.
• Si la cuota se carga en dos recibos (base + mejoras voluntarias), registra dos asientos separados.
• Recargo por domiciliación fallida: si el banco devuelve el recibo, la TGSS aplica un recargo del 20%. Registra ese recargo como gasto adicional en cuenta 642."
"4","4","Cuando transfieres el neto de la nómina al empleado, normalmente los últimos días del mes. Siempre después del asiento #1.","Transferencia de 1.350 € netos a María:
• A = 001 (terminación empleado) | B = 0 (banco) | I = 1.350
Resultado: cancela la deuda con el empleado (465) y sale dinero del banco.","El importe I debe coincidir exactamente con el campo 'Líquido a recibir' calculado en el asiento #1. Si pagas en efectivo en lugar de transferencia, usa la cuenta 570 (caja) en lugar de 572 (banco)."
"5","5","Cada trimestre al presentar el modelo 303 y pagar el IVA resultante.

PLAZOS:
• 1T: del 1 al 20 de abril
• 2T: del 1 al 20 de julio
• 3T: del 1 al 20 de octubre
• 4T: del 1 al 30 de enero

Antes usa el asiento #26 para regularizar las cuentas 472 y 477 del trimestre.","IVA repercutido del trimestre: 3.000 € | IVA soportado deducible: 1.200 € | A pagar: 1.800 €
• A = 0 | B = 1.800 | C = 0 (banco)
Resultado: salda cuentas 477 y 472, paga 1.800 € a Hacienda.","QUIÉN PRESENTA EL 303:
• Autónomos estimación directa (normal y simplificada): trimestral por facturas reales.
• Autónomos en módulos con régimen simplificado IVA: trimestral, pero el IVA se calcula por índices/módulos, no por facturas.
• Comunidad de Bienes: la propia comunidad presenta el 303 (no los socios individualmente).
• SL / SA: trimestral. Mensual si están en REDEME o facturan > 6M€.
• Autónomos exentos de IVA (médicos, enseñanza, seguros, arrendamiento de vivienda...): NO presentan el 303.
• Recargo de equivalencia (minoristas): NO presentan el 303.

RESUMEN ANUAL: modelo 390 en enero (informativo, sin pago adicional).

SI EL RESULTADO ES NEGATIVO: saldo en cuenta 4700 para compensar en trimestres siguientes. Puedes pedir devolución anual con el modelo 390 (o mensual si estás en REDEME)."
"6","6","Trimestral. Cuando ingresas a Hacienda las retenciones de IRPF practicadas a empleados y profesionales.

PLAZOS:
• 1T: del 1 al 20 de abril
• 2T: del 1 al 20 de julio
• 3T: del 1 al 20 de octubre
• 4T: del 1 al 20 de enero","Retenciones del trimestre: nóminas 600 € + honorarios profesionales 250 € = 850 €:
• A = 0 | B = 850 | C = 0 (banco)
Resultado: salda cuenta 4751, paga 850 € a Hacienda.","QUIÉN PRESENTA EL 111:
• Autónomos con empleados: retenciones de nóminas.
• Autónomos y empresas que contratan profesionales con retención (gestores, abogados, consultores persona física en estimación directa): retención sobre honorarios.
• Comunidad de Bienes con empleados o que contrata profesionales con retención: SÍ.
• SL / SA: siempre que tengan empleados o contraten profesionales con retención.
• Autónomos sin empleados y cuyas facturas de proveedores no llevan retención: NO presentan el 111.

RESUMEN ANUAL: modelo 190 en enero (informativo, sin pago).
PRESENTACIÓN MENSUAL: solo si facturación > 6M€ o están en REDEME."
"7","7","Trimestral. Cuando ingresas a Hacienda las retenciones de IRPF (19%) practicadas sobre alquileres pagados a propietarios personas físicas.

PLAZOS: mismos que el modelo 111.","Alquiler trimestral: 3 meses × 800 € = 2.400 € base. Retención 19% = 456 €:
• A = 0 | B = 456 | C = 0 (banco)","QUIÉN PRESENTA EL 115:
• Autónomos (cualquier régimen), comunidades de bienes, SL y SA que alquilan su local a propietario PERSONA FÍSICA: SÍ.
• Si el arrendador es SOCIEDAD (SL, SA, inmobiliaria): NO hay retención, no se presenta.
• Si trabajas desde casa propia o local propio: NO.

RESUMEN ANUAL: modelo 180 en enero (informativo, sin pago)."
"8","8","Trimestral. Pago fraccionado del IRPF para autónomos en ESTIMACIÓN DIRECTA (normal y simplificada).

IMPORTANTE:
• ESTIMACIÓN DIRECTA → modelo 130 (este asiento)
• ESTIMACIÓN OBJETIVA (módulos) → modelo 131

PLAZOS:
• 1T: del 1 al 20 de abril
• 2T: del 1 al 20 de julio
• 3T: del 1 al 20 de octubre
• 4T: del 1 al 30 de enero","Beneficio acumulado hasta fin del 1T: 12.000 €. Retenciones soportadas: 800 €.
Cuota = 12.000 × 20% - 800 = 1.600 €:
• A = 0 | B = 1.600
Resultado: registra pago fraccionado IRPF (cuenta 473), sale del banco.","¿QUIÉN PRESENTA EL 130?
• Autónomos en ESTIMACIÓN DIRECTA NORMAL: SÍ.
• Autónomos en ESTIMACIÓN DIRECTA SIMPLIFICADA: SÍ.
• Autónomos PROFESIONALES en estimación directa: SÍ, SALVO que en el año anterior el 70% o más de sus ingresos ya estuvieran sujetos a retención (en ese caso pueden quedar exentos de presentar el 130).
• Autónomos en MÓDULOS (estimación objetiva): NO. Presentan el modelo 131.
• Comunidad de Bienes: la comunidad no presenta el 130. Cada socio tributa individualmente en función de su régimen personal.
• SL / SA: NO presentan el 130 (tributan en IS, presentan el 202).

PRESENTACIÓN CON RESULTADO NEGATIVO O CERO: obligatoria igualmente (declaración negativa).

CÁLCULO:
• Actividades empresariales: 20% del rendimiento neto acumulado desde inicio del año hasta fin del trimestre, menos pagos fraccionados anteriores y retenciones soportadas.
• Actividades profesionales: 20% del rendimiento neto del trimestre, menos retenciones."
"9","9","Cuando recibes una factura de un proveedor por mercancías que vas a revender. Es el asiento de compra más habitual en comercios y distribuidoras.","Factura de 'Distribuciones García': 2.000 € base + 420 € IVA (21%) = 2.420 € total
• A = 001 (terminación proveedor) | B = 2.000 | C = 420
Resultado: gasto compra 2.000 €, IVA deducible 420 €, deuda con proveedor 2.420 €.","CASOS FRECUENTES:
• Varios tipos de IVA en la misma factura: registra el total de bases e IVA agrupado.
• Factura con descuento comercial: introduce la base neta (ya descontada).
• Compra a plazos: la deuda queda en cuenta 400 hasta que pagues con el asiento #12.
• IVA no deducible (gasto no vinculado a la actividad): lleva el IVA al mayor coste del gasto, no a cuenta 472."
"10","10","Cuando emites una factura a un cliente por mercancías.","Factura a 'Almacenes Pérez': 3.500 € base + 735 € IVA (21%) = 4.235 €
• A = 001 | B = 3.500 | C = 735
Resultado: ingreso 3.500 €, IVA repercutido 735 €, derecho de cobro 4.235 €.","CASOS FRECUENTES:
• Cliente empresa de la UE: factura sin IVA (exenta). Usa el asiento #32.
• Cliente fuera de la UE (exportación): sin IVA. Registra igual pero C = 0.
• Factura a cliente particular con varios artículos a tipos distintos: agrupa por tipo de IVA.
• Venta al contado: encadena este asiento con el #11 inmediatamente.
• Factura rectificativa (abono por devolución): usa el asiento #28."
